,articleid,level,sentiment_score,sentiment_magnitude,language,sentence_text,byline,section,item_type,material_type_facet,des_facet,org_facet,per_facet,geo_facet,title,abstract,first_published_date,first_published_date_parsed
3,16dc-linick,sentence,-0.5,0.5,,"A top Democrat in Congress described the move as “an outrageous act,” and said that the inspector general, Steve Linick, had opened an investigation into Secretary of State Mike Pompeo.",BY MICHAEL D. SHEAR AND MAGGIE HABERMAN,U.S.,Article,News,"['United States Politics and Government', 'Trump-Ukraine Whistle-Blower Complaint and Impeachment Inquiry', 'Inspectors General', 'Appointments and Executive Changes']",['State Department'],"['Linick, Steve A', 'Trump, Donald J', 'Fine, Glenn A', 'Grimm, Christi A', 'Atkinson, Michael K (1964- )']",,Trump Removes State Dept. Inspector General,"A top Democrat in Congress described the move as “an outrageous act,” and said that the inspector general, Steve Linick, had opened an investigation into Secretary of State Mike Pompeo.",2020-05-16T00:06:39-04:00,2020-05-16 05:06:39+01:00
0,16virus-int-briefing,document,-0.10000000149011612,1.0,en,,,World,Article,News,['Coronavirus (2019-nCoV)'],,,,Saudi Arabia’s Planned Transformation May Founder on Coronavirus: Live Coverage,"A least 100 babies born into Ukraine’s booming surrogate motherhood business have become marooned in the country, and more are coming. Brazil’s contradictory response has made it an emerging center of the pandemic.",2020-05-16T00:03:31-04:00,2020-05-16 05:03:31+01:00
1,16virus-int-briefing,sentence,0.0,0.0,,Saudi Arabia’s Planned Transformation May Founder on Coronavirus: Live Coverage.,,World,Article,News,['Coronavirus (2019-nCoV)'],,,,Saudi Arabia’s Planned Transformation May Founder on Coronavirus: Live Coverage,"A least 100 babies born into Ukraine’s booming surrogate motherhood business have become marooned in the country, and more are coming. Brazil’s contradictory response has made it an emerging center of the pandemic.",2020-05-16T00:03:31-04:00,2020-05-16 05:03:31+01:00
2,16virus-int-briefing,sentence,0.30000001192092896,0.30000001192092896,,"A least 100 babies born into Ukraine’s booming surrogate motherhood business have become marooned in the country, and more are coming.",,World,Article,News,['Coronavirus (2019-nCoV)'],,,,Saudi Arabia’s Planned Transformation May Founder on Coronavirus: Live Coverage,"A least 100 babies born into Ukraine’s booming surrogate motherhood business have become marooned in the country, and more are coming. Brazil’s contradictory response has made it an emerging center of the pandemic.",2020-05-16T00:03:31-04:00,2020-05-16 05:03:31+01:00
3,16virus-int-briefing,sentence,-0.6000000238418579,0.6000000238418579,,Brazil’s contradictory response has made it an emerging center of the pandemic.,,World,Article,News,['Coronavirus (2019-nCoV)'],,,,Saudi Arabia’s Planned Transformation May Founder on Coronavirus: Live Coverage,"A least 100 babies born into Ukraine’s booming surrogate motherhood business have become marooned in the country, and more are coming. Brazil’s contradictory response has made it an emerging center of the pandemic.",2020-05-16T00:03:31-04:00,2020-05-16 05:03:31+01:00
0,16virus-modi,document,-0.20000000298023224,0.699999988079071,en,,BY JEFFREY GETTLEMAN AND SAMEER YASIR,World,Article,News,"['Coronavirus (2019-nCoV)', 'Polls and Public Opinion', 'Economic Conditions and Trends', 'Quarantines', 'Epidemics', 'Muslims and Islam', 'Demonstrations, Protests and Riots']",['Bharatiya Janata Party'],"['Modi, Narendra', 'Johnson, Boris', 'Merkel, Angela', 'Putin, Vladimir V', 'Trump, Donald J']",['India'],Modi’s Popularity Soars as India Weathers the Pandemic,Recent polls have the prime minister’s approval ratings topping 80 or 90 percent. But the economic devastation from the coronavirus has yet to be reckoned with.,2020-05-16T00:01:16-04:00,2020-05-16 05:01:16+01:00
1,16virus-modi,sentence,0.0,0.0,,Modi’s Popularity Soars as India Weathers the Pandemic.,BY JEFFREY GETTLEMAN AND SAMEER YASIR,World,Article,News,"['Coronavirus (2019-nCoV)', 'Polls and Public Opinion', 'Economic Conditions and Trends', 'Quarantines', 'Epidemics', 'Muslims and Islam', 'Demonstrations, Protests and Riots']",['Bharatiya Janata Party'],"['Modi, Narendra', 'Johnson, Boris', 'Merkel, Angela', 'Putin, Vladimir V', 'Trump, Donald J']",['India'],Modi’s Popularity Soars as India Weathers the Pandemic,Recent polls have the prime minister’s approval ratings topping 80 or 90 percent. But the economic devastation from the coronavirus has yet to be reckoned with.,2020-05-16T00:01:16-04:00,2020-05-16 05:01:16+01:00
2,16virus-modi,sentence,0.0,0.0,,Recent polls have the prime minister’s approval ratings topping 80 or 90 percent.,BY JEFFREY GETTLEMAN AND SAMEER YASIR,World,Article,News,"['Coronavirus (2019-nCoV)', 'Polls and Public Opinion', 'Economic Conditions and Trends', 'Quarantines', 'Epidemics', 'Muslims and Islam', 'Demonstrations, Protests and Riots']",['Bharatiya Janata Party'],"['Modi, Narendra', 'Johnson, Boris', 'Merkel, Angela', 'Putin, Vladimir V', 'Trump, Donald J']",['India'],Modi’s Popularity Soars as India Weathers the Pandemic,Recent polls have the prime minister’s approval ratings topping 80 or 90 percent. But the economic devastation from the coronavirus has yet to be reckoned with.,2020-05-16T00:01:16-04:00,2020-05-16 05:01:16+01:00
3,16virus-modi,sentence,-0.6000000238418579,0.6000000238418579,,But the economic devastation from the coronavirus has yet to be reckoned with.,BY JEFFREY GETTLEMAN AND SAMEER YASIR,World,Article,News,"['Coronavirus (2019-nCoV)', 'Polls and Public Opinion', 'Economic Conditions and Trends', 'Quarantines', 'Epidemics', 'Muslims and Islam', 'Demonstrations, Protests and Riots']",['Bharatiya Janata Party'],"['Modi, Narendra', 'Johnson, Boris', 'Merkel, Angela', 'Putin, Vladimir V', 'Trump, Donald J']",['India'],Modi’s Popularity Soars as India Weathers the Pandemic,Recent polls have the prime minister’s approval ratings topping 80 or 90 percent. But the economic devastation from the coronavirus has yet to be reckoned with.,2020-05-16T00:01:16-04:00,2020-05-16 05:01:16+01:00
0,15hp-tab-fader-pm-update-,document,0.0,0.0,en,,,Briefing,Slideshow,Slideshow,,,,,friday,friday,2020-05-15T23:45:59-04:00,2020-05-16 04:45:59+01:00
1,15hp-tab-fader-pm-update-,sentence,0.0,0.0,,friday.,,Briefing,Slideshow,Slideshow,,,,,friday,friday,2020-05-15T23:45:59-04:00,2020-05-16 04:45:59+01:00
2,15hp-tab-fader-pm-update-,sentence,0.0,0.0,,friday,,Briefing,Slideshow,Slideshow,,,,,friday,friday,2020-05-15T23:45:59-04:00,2020-05-16 04:45:59+01:00
0,15afghan-babies-E,document,0.20000000298023224,0.4000000059604645,en,,BY MUJIB MASHAL AND JIM HUYLEBROEK,en Español,Article,News,"['Afghanistan War (2001- )', 'Hospitals', 'Terrorism', 'Babies and Infants', 'Civilian Casualties']","['Taliban', 'Islamic State in Iraq and Syria (ISIS)']",,"['Kabul (Afghanistan)', 'Afghanistan']",Dieciocho bebés afganos nacieron en medio de una matanza y ahora enfrentan un destino incierto,"Un día después de que hombres armados irrumpieron en una sala de maternidad y masacraron al azar a decenas de madres, las autoridades tratan de reconectar a sus hijos con las familias.",2020-05-15T23:24:28-04:00,2020-05-16 04:24:28+01:00
1,15afghan-babies-E,sentence,0.20000000298023224,0.20000000298023224,,Dieciocho bebés afganos nacieron en medio de una matanza y ahora enfrentan un destino incierto.,BY MUJIB MASHAL AND JIM HUYLEBROEK,en Español,Article,News,"['Afghanistan War (2001- )', 'Hospitals', 'Terrorism', 'Babies and Infants', 'Civilian Casualties']","['Taliban', 'Islamic State in Iraq and Syria (ISIS)']",,"['Kabul (Afghanistan)', 'Afghanistan']",Dieciocho bebés afganos nacieron en medio de una matanza y ahora enfrentan un destino incierto,"Un día después de que hombres armados irrumpieron en una sala de maternidad y masacraron al azar a decenas de madres, las autoridades tratan de reconectar a sus hijos con las familias.",2020-05-15T23:24:28-04:00,2020-05-16 04:24:28+01:00
2,15afghan-babies-E,sentence,0.20000000298023224,0.20000000298023224,,"Un día después de que hombres armados irrumpieron en una sala de maternidad y masacraron al azar a decenas de madres, las autoridades tratan de reconectar a sus hijos con las familias.",BY MUJIB MASHAL AND JIM HUYLEBROEK,en Español,Article,News,"['Afghanistan War (2001- )', 'Hospitals', 'Terrorism', 'Babies and Infants', 'Civilian Casualties']","['Taliban', 'Islamic State in Iraq and Syria (ISIS)']",,"['Kabul (Afghanistan)', 'Afghanistan']",Dieciocho bebés afganos nacieron en medio de una matanza y ahora enfrentan un destino incierto,"Un día después de que hombres armados irrumpieron en una sala de maternidad y masacraron al azar a decenas de madres, las autoridades tratan de reconectar a sus hijos con las familias.",2020-05-15T23:24:28-04:00,2020-05-16 04:24:28+01:00
0,16quoteweb,document,0.0,0.10000000149011612,en,,,Today’s Paper,Article,Quote,,,,,Quotation of the Day: Brazil’s Health Minister Exits Amid Government’s Chaotic Response to Pandemic,"Quotation of the Day for Saturday, May 16, 2020.",2020-05-15T23:02:47-04:00,2020-05-16 04:02:47+01:00
1,16quoteweb,sentence,-0.10000000149011612,0.10000000149011612,,Quotation of the Day: Brazil’s Health Minister Exits Amid Government’s Chaotic Response to Pandemic.,,Today’s Paper,Article,Quote,,,,,Quotation of the Day: Brazil’s Health Minister Exits Amid Government’s Chaotic Response to Pandemic,"Quotation of the Day for Saturday, May 16, 2020.",2020-05-15T23:02:47-04:00,2020-05-16 04:02:47+01:00
2,16quoteweb,sentence,0.0,0.0,,"Quotation of the Day for Saturday, May 16, 2020.",,Today’s Paper,Article,Quote,,,,,Quotation of the Day: Brazil’s Health Minister Exits Amid Government’s Chaotic Response to Pandemic,"Quotation of the Day for Saturday, May 16, 2020.",2020-05-15T23:02:47-04:00,2020-05-16 04:02:47+01:00
0,16corrections,document,0.0,0.0,en,,,Corrections,Article,Correction,,,,,"Corrections: May 16, 2020","Corrections that appeared in print on Saturday, May 16, 2020.",2020-05-15T22:59:29-04:00,2020-05-16 03:59:29+01:00
1,16corrections,sentence,0.0,0.0,,"Corrections: May 16, 2020.",,Corrections,Article,Correction,,,,,"Corrections: May 16, 2020","Corrections that appeared in print on Saturday, May 16, 2020.",2020-05-15T22:59:29-04:00,2020-05-16 03:59:29+01:00
2,16corrections,sentence,0.0,0.0,,"Corrections that appeared in print on Saturday, May 16, 2020.",,Corrections,Article,Correction,,,,,"Corrections: May 16, 2020","Corrections that appeared in print on Saturday, May 16, 2020.",2020-05-15T22:59:29-04:00,2020-05-16 03:59:29+01:00
0,16chopra,document,0.10000000149011612,0.30000001192092896,en,,BY ANUPAMA CHOPRA,Opinion,Article,Op-Ed,"['Coronavirus (2019-nCoV)', 'Movies', 'Epidemics', 'Actors and Actresses', 'Wages and Salaries']",,"['Khan, Shahrukh', 'Khan, Salman', 'Johar, Karan (1972- )']",['India'],How the Pandemic Hit Bollywood,The Hindi film industry came together to protect its most vulnerable after the coronavirus outbreak.,2020-05-15T22:17:56-04:00,2020-05-16 03:17:56+01:00
1,16chopra,sentence,0.0,0.0,,How the Pandemic Hit Bollywood.,BY ANUPAMA CHOPRA,Opinion,Article,Op-Ed,"['Coronavirus (2019-nCoV)', 'Movies', 'Epidemics', 'Actors and Actresses', 'Wages and Salaries']",,"['Khan, Shahrukh', 'Khan, Salman', 'Johar, Karan (1972- )']",['India'],How the Pandemic Hit Bollywood,The Hindi film industry came together to protect its most vulnerable after the coronavirus outbreak.,2020-05-15T22:17:56-04:00,2020-05-16 03:17:56+01:00
2,16chopra,sentence,0.30000001192092896,0.30000001192092896,,The Hindi film industry came together to protect its most vulnerable after the coronavirus outbreak.,BY ANUPAMA CHOPRA,Opinion,Article,Op-Ed,"['Coronavirus (2019-nCoV)', 'Movies', 'Epidemics', 'Actors and Actresses', 'Wages and Salaries']",,"['Khan, Shahrukh', 'Khan, Salman', 'Johar, Karan (1972- )']",['India'],How the Pandemic Hit Bollywood,The Hindi film industry came together to protect its most vulnerable after the coronavirus outbreak.,2020-05-15T22:17:56-04:00,2020-05-16 03:17:56+01:00
0,16wordplay-hefty-barriers-to-entry,document,0.5,1.100000023841858,en,,BY CAITLIN LOVINGER,Crosswords & Games,Article,News,"['Crossword Puzzles', 'Cats']",,"['Chen, Jeff (Crossword Constructor)', 'Gray, Tracy (Crossword Constructor)']",,Hefty Barriers to Entry,Tracy Gray and Jeff Chen make excellent bouncers for their Saturday puzzle.,2020-05-15T21:40:02-04:00,2020-05-16 02:40:02+01:00
1,16wordplay-hefty-barriers-to-entry,sentence,0.20000000298023224,0.20000000298023224,,Hefty Barriers to Entry.,BY CAITLIN LOVINGER,Crosswords & Games,Article,News,"['Crossword Puzzles', 'Cats']",,"['Chen, Jeff (Crossword Constructor)', 'Gray, Tracy (Crossword Constructor)']",,Hefty Barriers to Entry,Tracy Gray and Jeff Chen make excellent bouncers for their Saturday puzzle.,2020-05-15T21:40:02-04:00,2020-05-16 02:40:02+01:00
2,16wordplay-hefty-barriers-to-entry,sentence,0.8999999761581421,0.8999999761581421,,Tracy Gray and Jeff Chen make excellent bouncers for their Saturday puzzle.,BY CAITLIN LOVINGER,Crosswords & Games,Article,News,"['Crossword Puzzles', 'Cats']",,"['Chen, Jeff (Crossword Constructor)', 'Gray, Tracy (Crossword Constructor)']",,Hefty Barriers to Entry,Tracy Gray and Jeff Chen make excellent bouncers for their Saturday puzzle.,2020-05-15T21:40:02-04:00,2020-05-16 02:40:02+01:00
0,15nyvirus-barber,document,-0.30000001192092896,1.5,en,,BY SARAH MASLIN NIR,New York,Article,News,"['Barbers and Barbering', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Shutdowns (Institutional)']",,"['LaLima, Joseph']",['Kingston (NY)'],Barber Defied Rules and Cut Hair From Home. Now He Has the Virus.,"The barber in Kingston, N.Y., is under investigation for giving haircuts during the shutdown. He lashed out at Gov. Andrew M. Cuomo, saying, “Is he going to feed my family?”",2020-05-15T21:39:34-04:00,2020-05-16 02:39:34+01:00
1,15nyvirus-barber,sentence,0.0,0.0,,Barber Defied Rules and Cut Hair From Home.,BY SARAH MASLIN NIR,New York,Article,News,"['Barbers and Barbering', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Shutdowns (Institutional)']",,"['LaLima, Joseph']",['Kingston (NY)'],Barber Defied Rules and Cut Hair From Home. Now He Has the Virus.,"The barber in Kingston, N.Y., is under investigation for giving haircuts during the shutdown. He lashed out at Gov. Andrew M. Cuomo, saying, “Is he going to feed my family?”",2020-05-15T21:39:34-04:00,2020-05-16 02:39:34+01:00
2,15nyvirus-barber,sentence,-0.5,0.5,,Now He Has the Virus..,BY SARAH MASLIN NIR,New York,Article,News,"['Barbers and Barbering', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Shutdowns (Institutional)']",,"['LaLima, Joseph']",['Kingston (NY)'],Barber Defied Rules and Cut Hair From Home. Now He Has the Virus.,"The barber in Kingston, N.Y., is under investigation for giving haircuts during the shutdown. He lashed out at Gov. Andrew M. Cuomo, saying, “Is he going to feed my family?”",2020-05-15T21:39:34-04:00,2020-05-16 02:39:34+01:00
3,15nyvirus-barber,sentence,-0.30000001192092896,0.30000001192092896,,"The barber in Kingston, N.Y., is under investigation for giving haircuts during the shutdown.",BY SARAH MASLIN NIR,New York,Article,News,"['Barbers and Barbering', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Shutdowns (Institutional)']",,"['LaLima, Joseph']",['Kingston (NY)'],Barber Defied Rules and Cut Hair From Home. Now He Has the Virus.,"The barber in Kingston, N.Y., is under investigation for giving haircuts during the shutdown. He lashed out at Gov. Andrew M. Cuomo, saying, “Is he going to feed my family?”",2020-05-15T21:39:34-04:00,2020-05-16 02:39:34+01:00
4,15nyvirus-barber,sentence,-0.699999988079071,0.699999988079071,,"He lashed out at Gov. Andrew M. Cuomo, saying, “Is he going to feed my family?”",BY SARAH MASLIN NIR,New York,Article,News,"['Barbers and Barbering', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Shutdowns (Institutional)']",,"['LaLima, Joseph']",['Kingston (NY)'],Barber Defied Rules and Cut Hair From Home. Now He Has the Virus.,"The barber in Kingston, N.Y., is under investigation for giving haircuts during the shutdown. He lashed out at Gov. Andrew M. Cuomo, saying, “Is he going to feed my family?”",2020-05-15T21:39:34-04:00,2020-05-16 02:39:34+01:00
0,15liability,document,0.0,0.20000000298023224,en,,BY THE EDITORIAL BOARD,Opinion,Article,Editorial,"['Workplace Hazards and Violations', 'Coronavirus (2019-nCoV)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus Reopenings', 'Labor and Jobs', 'Suits and Litigation (Civil)', 'United States Politics and Government']","['Centers for Disease Control and Prevention', 'Occupational Safety and Health Administration', 'Senate']","['McConnell, Mitch']",,McConnell’s Rush to Protect Businesses Endangers Everyone Else,"To reopen safely, companies need good, clear and mandatory guidelines, not immunity from liability.",2020-05-15T20:50:32-04:00,2020-05-16 01:50:32+01:00
1,15liability,sentence,0.0,0.0,,McConnell’s Rush to Protect Businesses Endangers Everyone Else.,BY THE EDITORIAL BOARD,Opinion,Article,Editorial,"['Workplace Hazards and Violations', 'Coronavirus (2019-nCoV)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus Reopenings', 'Labor and Jobs', 'Suits and Litigation (Civil)', 'United States Politics and Government']","['Centers for Disease Control and Prevention', 'Occupational Safety and Health Administration', 'Senate']","['McConnell, Mitch']",,McConnell’s Rush to Protect Businesses Endangers Everyone Else,"To reopen safely, companies need good, clear and mandatory guidelines, not immunity from liability.",2020-05-15T20:50:32-04:00,2020-05-16 01:50:32+01:00
2,15liability,sentence,-0.10000000149011612,0.10000000149011612,,"To reopen safely, companies need good, clear and mandatory guidelines, not immunity from liability.",BY THE EDITORIAL BOARD,Opinion,Article,Editorial,"['Workplace Hazards and Violations', 'Coronavirus (2019-nCoV)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus Reopenings', 'Labor and Jobs', 'Suits and Litigation (Civil)', 'United States Politics and Government']","['Centers for Disease Control and Prevention', 'Occupational Safety and Health Administration', 'Senate']","['McConnell, Mitch']",,McConnell’s Rush to Protect Businesses Endangers Everyone Else,"To reopen safely, companies need good, clear and mandatory guidelines, not immunity from liability.",2020-05-15T20:50:32-04:00,2020-05-16 01:50:32+01:00
0,15virus-sbaloans,document,-0.10000000149011612,0.30000001192092896,en,,BY EMILY FLITTER,Business,Article,News,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Quarantines', 'Small Business', 'Layoffs and Job Reductions', 'Credit and Debt', 'United States Politics and Government']",['Treasury Department'],,,Treasury Eases Terms for Small Businesses to Convert Loans to Grants,A fact sheet released on Friday said businesses could get forgiveness without rehiring all their employees if the layoffs occurred early on during the lockdowns.,2020-05-15T20:43:34-04:00,2020-05-16 01:43:34+01:00
1,15virus-sbaloans,sentence,0.0,0.0,,Treasury Eases Terms for Small Businesses to Convert Loans to Grants.,BY EMILY FLITTER,Business,Article,News,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Quarantines', 'Small Business', 'Layoffs and Job Reductions', 'Credit and Debt', 'United States Politics and Government']",['Treasury Department'],,,Treasury Eases Terms for Small Businesses to Convert Loans to Grants,A fact sheet released on Friday said businesses could get forgiveness without rehiring all their employees if the layoffs occurred early on during the lockdowns.,2020-05-15T20:43:34-04:00,2020-05-16 01:43:34+01:00
2,15virus-sbaloans,sentence,-0.20000000298023224,0.20000000298023224,,A fact sheet released on Friday said businesses could get forgiveness without rehiring all their employees if the layoffs occurred early on during the lockdowns.,BY EMILY FLITTER,Business,Article,News,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Quarantines', 'Small Business', 'Layoffs and Job Reductions', 'Credit and Debt', 'United States Politics and Government']",['Treasury Department'],,,Treasury Eases Terms for Small Businesses to Convert Loans to Grants,A fact sheet released on Friday said businesses could get forgiveness without rehiring all their employees if the layoffs occurred early on during the lockdowns.,2020-05-15T20:43:34-04:00,2020-05-16 01:43:34+01:00
0,15Stephens,document,-0.20000000298023224,0.5,en,,BY BRET STEPHENS,Opinion,Article,Op-Ed,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020', 'United States Politics and Government']","['Democratic Party', 'Republican Party']",,,"In This Election, It’s the Remote Against the Exposed",Those facing the greatest dangers will decide the outcome.,2020-05-15T20:25:22-04:00,2020-05-16 01:25:22+01:00
1,15Stephens,sentence,0.0,0.0,,"In This Election, It’s the Remote Against the Exposed.",BY BRET STEPHENS,Opinion,Article,Op-Ed,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020', 'United States Politics and Government']","['Democratic Party', 'Republican Party']",,,"In This Election, It’s the Remote Against the Exposed",Those facing the greatest dangers will decide the outcome.,2020-05-15T20:25:22-04:00,2020-05-16 01:25:22+01:00
2,15Stephens,sentence,-0.5,0.5,,Those facing the greatest dangers will decide the outcome.,BY BRET STEPHENS,Opinion,Article,Op-Ed,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020', 'United States Politics and Government']","['Democratic Party', 'Republican Party']",,,"In This Election, It’s the Remote Against the Exposed",Those facing the greatest dangers will decide the outcome.,2020-05-15T20:25:22-04:00,2020-05-16 01:25:22+01:00
0,17Ziegelman,document,-0.10000000149011612,0.30000001192092896,en,,BY JANE ZIEGELMAN,Opinion,Article,Op-Ed,"['Meat', 'Executive Orders and Memorandums', 'Workplace Hazards and Violations', 'Meat Packers and Butchers', 'Coronavirus (2019-nCoV)']",,"['Trump, Donald J']",,Where’s Our Beef?,"Meat-eating is part of the American identity, a tradition that underlies efforts to keep slaughterhouses open despite coronavirus outbreaks.",2020-05-15T20:12:51-04:00,2020-05-16 01:12:51+01:00
1,17Ziegelman,sentence,-0.30000001192092896,0.30000001192092896,,Where’s Our Beef?.,BY JANE ZIEGELMAN,Opinion,Article,Op-Ed,"['Meat', 'Executive Orders and Memorandums', 'Workplace Hazards and Violations', 'Meat Packers and Butchers', 'Coronavirus (2019-nCoV)']",,"['Trump, Donald J']",,Where’s Our Beef?,"Meat-eating is part of the American identity, a tradition that underlies efforts to keep slaughterhouses open despite coronavirus outbreaks.",2020-05-15T20:12:51-04:00,2020-05-16 01:12:51+01:00
2,17Ziegelman,sentence,0.0,0.0,,"Meat-eating is part of the American identity, a tradition that underlies efforts to keep slaughterhouses open despite coronavirus outbreaks.",BY JANE ZIEGELMAN,Opinion,Article,Op-Ed,"['Meat', 'Executive Orders and Memorandums', 'Workplace Hazards and Violations', 'Meat Packers and Butchers', 'Coronavirus (2019-nCoV)']",,"['Trump, Donald J']",,Where’s Our Beef?,"Meat-eating is part of the American identity, a tradition that underlies efforts to keep slaughterhouses open despite coronavirus outbreaks.",2020-05-15T20:12:51-04:00,2020-05-16 01:12:51+01:00
0,15google,document,0.0,0.8999999761581421,en,,"BY CECILIA KANG, DAVID MCCABE AND DAISUKE WAKABAYASHI",Technology,Article,News,"['Antitrust Laws and Competition Issues', 'Search Engines', 'Online Advertising', 'Regulation and Deregulation of Industry', 'Suits and Litigation (Civil)', 'United States Politics and Government']","['Google Inc', 'Justice Department']",,,U.S. Is Said to Plan to File Antitrust Charges Against Google,The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s.,2020-05-15T20:04:23-04:00,2020-05-16 01:04:23+01:00
1,15google,sentence,0.30000001192092896,0.30000001192092896,,U.S.,"BY CECILIA KANG, DAVID MCCABE AND DAISUKE WAKABAYASHI",Technology,Article,News,"['Antitrust Laws and Competition Issues', 'Search Engines', 'Online Advertising', 'Regulation and Deregulation of Industry', 'Suits and Litigation (Civil)', 'United States Politics and Government']","['Google Inc', 'Justice Department']",,,U.S. Is Said to Plan to File Antitrust Charges Against Google,The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s.,2020-05-15T20:04:23-04:00,2020-05-16 01:04:23+01:00
2,15google,sentence,-0.30000001192092896,0.30000001192092896,,Is Said to Plan to File Antitrust Charges Against Google.,"BY CECILIA KANG, DAVID MCCABE AND DAISUKE WAKABAYASHI",Technology,Article,News,"['Antitrust Laws and Competition Issues', 'Search Engines', 'Online Advertising', 'Regulation and Deregulation of Industry', 'Suits and Litigation (Civil)', 'United States Politics and Government']","['Google Inc', 'Justice Department']",,,U.S. Is Said to Plan to File Antitrust Charges Against Google,The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s.,2020-05-15T20:04:23-04:00,2020-05-16 01:04:23+01:00
3,15google,sentence,-0.10000000149011612,0.10000000149011612,,The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s.,"BY CECILIA KANG, DAVID MCCABE AND DAISUKE WAKABAYASHI",Technology,Article,News,"['Antitrust Laws and Competition Issues', 'Search Engines', 'Online Advertising', 'Regulation and Deregulation of Industry', 'Suits and Litigation (Civil)', 'United States Politics and Government']","['Google Inc', 'Justice Department']",,,U.S. Is Said to Plan to File Antitrust Charges Against Google,The case may be joined by state attorneys general in what would be one of the biggest antitrust actions by the United States since the late 1990s.,2020-05-15T20:04:23-04:00,2020-05-16 01:04:23+01:00
0,15trump-darkness,document,-0.5,1.0,en,,"BY ALEXANDER BURNS, MAGGIE HABERMAN, JONATHAN MARTIN AND NICK CORASANITI",U.S.,Article,News,"['Presidential Election of 2020', 'Political Advertising', 'United States Politics and Government', 'Polls and Public Opinion', 'Coronavirus (2019-nCoV)']",,"['Trump, Donald J', 'Biden, Joseph R Jr']",,"A Sitting President, Riling the Nation During a Crisis","By smearing his opponents, championing conspiracy theories and pursuing vendettas, President Tru​mp has reverted to his darkest political tactics in spite of a pandemic hurting millions of Americans.",2020-05-15T19:44:54-04:00,2020-05-16 00:44:54+01:00
1,15trump-darkness,sentence,-0.20000000298023224,0.20000000298023224,,"A Sitting President, Riling the Nation During a Crisis.","BY ALEXANDER BURNS, MAGGIE HABERMAN, JONATHAN MARTIN AND NICK CORASANITI",U.S.,Article,News,"['Presidential Election of 2020', 'Political Advertising', 'United States Politics and Government', 'Polls and Public Opinion', 'Coronavirus (2019-nCoV)']",,"['Trump, Donald J', 'Biden, Joseph R Jr']",,"A Sitting President, Riling the Nation During a Crisis","By smearing his opponents, championing conspiracy theories and pursuing vendettas, President Tru​mp has reverted to his darkest political tactics in spite of a pandemic hurting millions of Americans.",2020-05-15T19:44:54-04:00,2020-05-16 00:44:54+01:00
2,15trump-darkness,sentence,-0.699999988079071,0.699999988079071,,"By smearing his opponents, championing conspiracy theories and pursuing vendettas, President Tru​mp has reverted to his darkest political tactics in spite of a pandemic hurting millions of Americans.","BY ALEXANDER BURNS, MAGGIE HABERMAN, JONATHAN MARTIN AND NICK CORASANITI",U.S.,Article,News,"['Presidential Election of 2020', 'Political Advertising', 'United States Politics and Government', 'Polls and Public Opinion', 'Coronavirus (2019-nCoV)']",,"['Trump, Donald J', 'Biden, Joseph R Jr']",,"A Sitting President, Riling the Nation During a Crisis","By smearing his opponents, championing conspiracy theories and pursuing vendettas, President Tru​mp has reverted to his darkest political tactics in spite of a pandemic hurting millions of Americans.",2020-05-15T19:44:54-04:00,2020-05-16 00:44:54+01:00
0,15Cohen,document,-0.30000001192092896,0.800000011920929,en,,BY ROGER COHEN,Opinion,Article,Op-Ed,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020', 'United States Politics and Government', 'Firearms', 'Rumors and Misinformation']",['Justice Department'],"['Trump, Donald J', 'Barr, William P']",['Colorado'],The Masked Versus the Unmasked,How can Trump opponents take on people who will stop at nothing?,2020-05-15T19:36:13-04:00,2020-05-16 00:36:13+01:00
